key,english,korean
army_attachment_cyborg_infiltration_unit,Cyborg Infiltration Unit,사이보그 침투 부대
army_attachment_environmental_augmentations,Environmental Augmentations,환경 적응 시술
army_attachment_exploding_slave_collars,Exploding Slave Collars,폭발성 노예 목걸이
army_attachment_hunter_killer_drone_swarms,Hunter-Killer Drone Swarms,추적 말살 드론 무리
army_attachment_hypnotic_training_regimen,Hypnotic Training Regimen,최면 훈련 요법
army_attachment_infestation_brood,Infestation Brood,감염 생물 무리
army_attachment_military_police_corps,Military Police Corps,헌병대
army_attachment_mobile_shield_generators,Mobile Shield Generators,이동식 보호막 생성기
army_attachment_neo_concrete_fortifications,Neo-Concrete Fortifications,네오 콘크리트 방어 시설
army_attachment_orbital_drop_pods,Orbital Drop Pods,궤도 강하정
army_attachment_personal_shields,Personal Shield Units,개인 보호막 장비
army_attachment_power_armor,Power Armor,동력 갑옷
army_attachment_psi_shield_specialists,PSI-Shield Specialists,사이오닉 보호막 전문가
army_attachment_psi_warriors,PSI Warriors,사이오닉 전사
army_attachment_raptor_flocks,Raptor Flocks,맹금 무리
army_attachment_self_replicating_mine_fields,Self-Replicating Mine Fields,자가 복제 지뢰 지대
army_attachment_shadow_assassins,Shadow Assassins,그림자 암살단
army_attachment_slaver_raiding_teams,Slave Raiding Teams,노예 약탈단
army_attachment_special_forces_group,Special Forces Group,특수 부대
army_attachment_telekinetic_specialists,Telekinetic Specialists,염력 전문가
army_attachment_xeno_cavalry,Xeno Cavalry,외계 기병대
army_inspiration,Inspired Army Recruits,고무된 지상군 모집
army_rank_elite,Elite,정예
army_rank_experienced,Experienced,숙련
army_rank_regular,Regular,일반
army_rank_veteran,Veteran,베테랑
army_speed_boost,Enhanced Ship Speed,함선 속도 향상
building_abandoned_gene_clinic,Abandoned Gene Clinic,방치된 유전자 진료소
building_advanced_storm_resistant_production,Storm Nullifier,폭풍 차단 시스템
building_affluence_center,Affluence Center,풍요 센터
building_affluence_emporium,Affluence Emporium,풍요 엠포리엄
building_agri_processing_complex,Agri-Processing Complex,농업 가공 복합 단지
building_ai_emporium,AI Emporium,AI 엠포리엄
building_akx_worm_1,Spiral-Feed Power Hub,나선형 공급 전력 허브
building_akx_worm_2,Loop Institute,순환 기관
building_akx_worm_3,Omega Alignment,오메가 정렬체
building_alien_sanctuary,Alien Sanctuary,외계인 보호처
building_alpha_hub,Alpha Hub,알파 허브
building_amusement_megaplex,Amusement Megaplex,거대 놀이공원
building_ancient_archives,Precursor Archives,선구자 기록 보관소
building_ancient_control_center,Ancient Control Center,고대 제어소
building_ancient_cryo_chamber,Ancient Cryo-Chamber,고대 냉동 수면 시설
building_ancient_factory,Autonomous Fabricators,자율 제조기
building_ancient_hive_capital,Venerable Nucleus,숭상받는 핵
building_ancient_palace,Ancient Palace,고대 궁전
building_ancient_ward_1,Ancient Ward,고대 방어소
building_ancient_ward_2,Grand Ward,대방어소
building_animal_evaluation_laboratory,Animal Evaluation Laboratory,동물 평가 실험실
building_archaeostudies_faculty,Faculty of Archaeostudies,고대기술학부
building_artist,Art Monument,예술 기념물
building_artist_patron,Ministry of Culture,문화부
building_astral_siphon_1,Astral Siphon,아스트랄 사이펀
building_astral_siphon_2,Astral Funnel,아스트랄 퍼널
building_astral_siphon_3,Astral Nexus,아스트랄 넥서스
building_astrometeorology_observation_center,Astrometeorology Observatory,우주 기상 관측소
building_augmentation_bazaars,Augmentation Bazaar,증강물 시장
building_augmentation_bazaars_branch,Offworld Implant Hub,외계 삽입물 허브
building_augmentation_center,Augmentation Center,증강 센터
building_autochthon_monument,Autochthon Monument,원주민 기념물
building_autochthon_monument_plural,Autochthon Monuments,원주민 기념물
building_autocurating_vault,Auto-Curating Vault,자동 큐레이션 보존고
building_automation_1,Automation Building,자동화 건물
building_automation_2,Optimization Building,최적화 건물
building_avatar_chamber_1,Avatar Cradle,아바타 요람
building_avatar_chamber_2,Avatar Chamber,아바타 실험실
building_avatar_chamber_3,Avatar Forest,아바타 숲
building_avatar_chamber_4,Avatar Cortex,아바타 피질
building_basic_farm,Basic Hydroponics Farm,기본 수경 재배 농장
building_basic_mine,Basic Mine,기본 광산
building_basic_power_plant,Basic Power Plant,기본 발전소
building_basic_science_lab_1,Basic Science Lab,기초 과학 연구소
building_battlement_of_steel,Battlements of Steel,강철의 성첩
building_betharian_power_plant,Betharian Power Plant,베타리안 발전소
building_bio_furnace,Bio-Furnace,생체 용광로
building_bio_reactor,Bio-Reactor,생체 반응로
building_bio_reactor_2,Advanced Bio-Reactor,첨단 생체 반응로
building_bio_reprocessing_facilities,Bio-Reprocessing Plants,생체 물질 재처리장
building_bioelectric_stimulator_1,Chloroplastic Acclimator,엽록체 적응기
building_bioelectric_stimulator_2,Chloroplastic Accelerator,엽록체 가속기
building_bioelectric_stimulator_3,Chloroplastic Lens Array,엽록체 렌즈 배열체
building_bioelectric_stimulator_4,Chloroplastic Cyst,엽록체 낭포
building_biolab_1,Xenobiological Lab,외계 생물학 연구소
building_biolab_2,Neurogenetics Institute,신경 유전학 연구 기관
building_biolab_3,Life Systems Complex,생명계 연구 단지
building_biolab_4,Biolab IV,생물학 연구소 IV
building_biolab_5,Biolab V,생물학 연구소 V
building_blocks,Crucible of Life,생명의 도가니
building_brain_node_1,Research Growth,연구 성장터
building_brain_node_2,Research Grove,연구 삼림
building_brain_node_3,Exotic Research Enclosure,외계 연구 구획
building_brain_node_4,Advanced Research Enclosure,첨단 연구 구획
building_bureaucratic_1,Administrative Offices,행정 청사
building_bureaucratic_2,Administrative Park,행정 구역
building_bureaucratic_3,Administrative Complex,행정 단지
building_capital,Planetary Administration,행성 행정부
building_capital_wilderness,Planetary Root Bundle,행성 뿌리 뭉치
building_carceral_test_facility,Experimentation Offices,실험국
building_center_of_guidance,Center of Guidance,지도 센터
building_chamber_of_silence,Chamber of Silence,침묵의 방
building_chemical_plant,Chemical Plants,화학 공장
building_churning_stomach,Exotic Gas Filters,외계 가스 여과기
building_churning_tunnels_1,Lithic Bore,암석 채굴공
building_churning_tunnels_2,Lithic Filters,암석 여과기
building_churning_tunnels_3,Lithic Macerator,암석 파쇄기
building_churning_tunnels_4,Lithic Baths,암석 욕조
building_citadel_of_faith,Citadel of Faith,신앙의 성채
building_citadel_uplink,Citadel Uplink,성채 업링크
building_class_3_singularity,Class-3 Singularity,3등급 특이점
building_class_4_singularity,Class-4 Singularity,4등급 특이점
building_clear_thought_clinic,Clear Thought Clinic,기억 청소 시술소
building_clone_army_clone_vat,Ancient Clone Vat,고대 클론 배양소
building_clone_army_clone_vat_plural,Ancient Clone Vats,고대 클론 배양소
building_clone_vats,Clone Vats,클론 배양소
building_colony_shelter,Reassembled Ship Shelter,재조립된 함선 주거지
building_colony_shelter_wilderness,Planetary Tendrils,행성 촉수
building_commensal_clearing_1,Commensal Clearing,공생 모임터
building_commensal_clearing_2,Commensal Grove,공생 삼림
building_commensal_clearing_3,Commensal Valley,공생 계곡
building_commensal_clearing_4,Commensal Biome,공생 생물군계
building_commercial_forum,Commercial Forum,상업 포럼
building_commercial_megaplex,Commerce Megaplexes,상업 거대 복합 단지
building_commercial_zone,Commercial Zones,상업 지역
building_communal_housing,Communal Housing,공동 주택
building_communal_housing_large,Utopian Communal Housing,유토피아 공동 주택
building_constructed,Buildings Constructed,건물 건설 완료
building_contained_ecosphere,Contained Ecosphere,이동식 생태권
building_control_center,Control Center,제어소
building_coordinated_fulfillment_center_1,Coordinated Fulfillment Center,공조 충족 센터
building_corporate_clinics,Corporate Clinic,기업 진료소
building_corporate_embassy,Corporate Embassy,기업 대사관
building_corporate_forum,Synergy Forum,시너지 포럼
building_corporate_monument,Corporate Culture Site,기업 문화유산
building_corporate_site,Business Management Nexus,사업 경영 연결체
building_corporate_vault,Vault of Acquisitions,인수물 보관고
building_cradle_of_rebirth,Cradle of Rebirth,재탄생의 요람
building_crude_huts,Crude Huts,조잡한 오두막
building_cryonic_clones,Cryonic Clones,냉동 수면 클론
building_cryovault,Cryovault,냉동 거주실
building_crystal_growth,Crystal Bed,크리스탈 기단
building_crystal_mines,Crystal Mines,크리스탈 광산
building_crystal_plant,Synthetic Crystal Plants,합성 크리스탈 공장
building_crystal_plant_2,Kha'lanka Crystal Plant,카'란카 크리스탈 공장
building_cyberdome,Cyberdome,사이버돔
building_deployment_post,Deployment Post,배치 기지
building_dimensional_fabricator,Dimensional Fabricator,차원 제조소
building_dimensional_replicator,Dimensional Replicator,차원 복제소
building_disinformation_center,Disinformation Center,역정보 센터
building_dread_encampment,Dread Encampment,공포의 야영지
building_drone_megastorage,Upgraded Drone Storage,업그레이드 드론 보관소
building_drone_storage,Drone Storage,드론 보관소
building_eater_sanctum_desc_default,feast,연회
building_eater_sanctum_desc_machine,conquest,정복
building_embassy,Embassy Complex,대사관 복합 단지
building_empyrean_shrine,Phased Empyrean Shrine,천공의 위상 사원
building_energy_grid,Energy Grid,에너지망
building_energy_grid_plural,Energy Grids,에너지망
building_energy_nexus,Energy Nexus,에너지 연결체
building_engineering_facility_1,Materials Workshop,소재 작업실
building_engineering_facility_2,Applied Mechanics Institute,응용 역학 연구 기관
building_engineering_facility_3,Advanced Engineering Complex,첨단 공학 연구 단지
building_engineering_facility_4,Engineering Facility IV,공학 시설 IV
building_engineering_facility_5,Engineering Facility V,공학 시설 V
building_executive_retreat,Executive Retreat,경영자 휴양지
building_expanded_warren,Expanded Warren,확장형 사육장
building_experimentation_chambers_1,Experimentation Chambers,실험 구역
building_experimentation_chambers_2,Experimentation Complex,실험 복합 단지
building_experimentation_chambers_3,Experimentation Nexus,실험 연결체
building_factory_1,Civilian Industries,민간 산업체
building_factory_2,Civilian Fabricators,민간 제조소
building_factory_3,Civilian Repli-Complexes,민간 복제 단지
building_factory_efficiency_1,Distributed Design Center,분산형 설계 센터
building_factory_upkeep_1,Recirculation Center,재순환 센터
building_farming_districts_1,Crop Development Hub,작물 개발 허브
building_farming_districts_2,Soil Reclamation Center,토양 간척 센터
building_farming_districts_3,Automated Agri-Complex,자동화 농업 단지
building_farming_districts_4,Planetary Cultivation Grid,행성 경작 개발망
building_fe,Fallen Empire Building,몰락한 제국 건물
building_fe_administration_1,Omnivident Administration,모든 것을 보는 행정부
building_fe_administration_2,Omniscient Administration,모든 것을 아는 행정부
building_fe_administration_hive_1,Ephaptic Cluster,연접 군집
building_fe_administration_hive_2,Ephaptic Axon,연접 축삭
building_fe_administration_machine_1,Fractal Coordination Point,프랙털 조율 거점
building_fe_administration_machine_2,Quantic Coordination Point,양자 조율 거점
building_fe_assembly_1,Robot Manufacturing Nexus,로봇 제조 연결체
building_fe_clinic_1,Molecular-Revitalization Institute,분자 재활성화 기관
building_fe_clinic_2,Bioregeneration Institute,생체 재생 기관
building_fe_dome,Empyrean Dome,천공의 반구
building_fe_entertainment_1,Virtual Bliss Plaza,가상 위락 플라자
building_fe_entertainment_2,Omni-Bliss Nexus,만능 위락 연결체
building_fe_fortress,Aspis Bastion,아스피스 우주 요새
building_fe_lab_1,Quantum Innovation Nexus,양자 혁신 연결체
building_fe_lab_2,Transcendental Innovation Department,초월 혁신부
building_fe_market_1,Galactic Commerce Hub,은하 상업 허브
building_fe_market_2,Interstellar Commerce Nexus,성간 상업 연결체
building_fe_mine_1,Quantum Drilling Plant,양자 시추 공장
building_fe_mine_2,Quantum Drilling Hub,양자 시추 허브
building_fe_security_1,Justice Complex,사법부 청사
building_fe_security_2,Ziggurat of Justice,사법 지구라트
building_fe_silo_1,Shrinkspace Depot,공간 압축 창고
building_fe_silo_2,Extra-Dimensional Depot,타 차원 창고
building_fe_sky_dome,Sky Dome,스카이 돔
building_fe_stronghold,Aegis Complex,이지스 복합 방어 시설
building_fe_temple_1,Celestial Sanctum,천상의 성소
building_fe_temple_2,Celestial Cathedral,천상의 대성당
building_fe_xeno_zoo,Xeno Preserve,외계종 보호 구역
building_food_conglomerate,Fast Food Chain,패스트푸드 체인
building_food_processing_center,Food Processing Centers,식량 가공 센터
building_food_processing_facility,Food Processing Facilities,식량 가공 시설
building_fortress,Fortress,요새
building_foundry_1,Alloy Foundries,합금 주조소
building_foundry_2,Alloy Mega-Forges,초거대 합금 단조장
building_foundry_3,Alloy Nano-Plants,합금 나노 공장
building_foundry_efficiency_1,Metallurgical Research Lab,금속 가공 연구소
building_foundry_upkeep_1,Alloy Reclamation Plant,합금 회수 공장
building_gaiaseeders,Gaia Seeders,가이아 파종기
building_galactic_memorial_1,Sanctuary of Repose,영면의 성소
building_galactic_memorial_2,Pillar of Quietus,안식의 지주
building_galactic_memorial_3,Galactic Memorial,은하 기념관
building_galactic_stock_exchange,Galactic Stock Exchange,은하 증권 거래소
building_gas_extractors,Gas Extraction Wells,가스 추출정
building_generator_districts_1,Conductive Works Complex,전기 공사 복합 단지
building_generator_districts_2,Substation Relay Complex,변전소 중계 단지
building_generator_districts_3,Plasma Regulation Array,플라스마 조절 배열체
building_generator_districts_4,Planetary Nexus,행성 연결체
building_generator_generic,Voltaic Production Yard,동전기 발전장
building_genomic_facility,Genomic Research Facility,유전체 연구 시설
building_genomic_facility_plural,Genomic Research Facilities,유전체 연구 시설
building_grand_embassy,Grand Embassy Complex,대형 대사관 복합 단지
building_grand_mausoleum,Grand Mausoleum,웅장한 영묘
building_great_pyramid,Great Pyramid,거대 피라미드
building_guardian_dragon_monument,Dragonslayer Monument,드래곤슬레이어 기념물
building_guardian_dragon_shrine,Ether Drake Shrine,에테르 드레이크 사원
building_hab_agri_bay,Agricultural Zone,농업 구역
building_hab_astro_mining_facility,Astro-Mining Bay,우주 채굴소
building_hab_capital,Habitat Administration,거주지 행정부
building_hab_cultural_center,Leisure District,휴양 지구
building_hab_laboratory_module,Laboratory Complex,실험 복합 단지
building_hab_major_capital,Habitat Central Control,거주지 중앙 통제소
building_hab_solar_power_processor,Solar Power Processor,태양력 처리기
building_hab_stronghold,Security Zone,보안 구역
building_hab_system_capital,Habitat System Control,거주지 시스템 통제소
building_hall_judgment,Hall of Judgment,심판소
building_heritage_site,Heritage Site,문화유산
building_hive_capital,Hive Core,군체 심장부
building_hive_cluster,Synaptic Clusters,시냅스 군집
building_hive_confluence,Confluence of Thought,사고의 합일
building_hive_crude_huts,Simple Nests,간이 둥지
building_hive_major_capital,Hive Nexus,군체 연결체
building_hive_node,Synaptic Nodes,시냅스 노드
building_hive_primitive_capital,Continental Nexus,대륙 연결체
building_hive_primitive_dwellings,Early Colony,초기 군락
building_hive_primitive_node,Simple Synaptic Node,단순 시냅스 노드
building_hive_stone_palace,Stone Hive,석재 군체
building_hive_synapse,Hive Synapse,군체 시냅스
building_hive_transcendental_retreat,Genomic Safeguard Warren,유전체 수호 보전소
building_hive_warren,Hive Warren,군체 사육장
building_holo_theatres,Holo-Theatres,홀로그램 극장
building_holotemple,Holotemple,홀로그램 신전
building_hydroponics_farm,Hydroponics Farms,수경 재배 농장
building_hydroponics_farm_1,Hydroponics Farm I,수경 재배 농장 I
building_hydroponics_farm_2,Hydroponics Farm II,수경 재배 농장 II
building_hydroponics_farm_3,Hydroponics Farm III,수경 재배 농장 III
building_hydroponics_farm_4,Hydroponics Farm IV,수경 재배 농장 IV
building_hydroponics_farm_5,Hydroponics Farm V,수경 재배 농장 V
building_hyper_entertainment_forum,Hyper-Entertainment Forums,하이퍼 엔터테인먼트 포럼
building_hypercomms_forum,Hypercomms Forum,초광속 통신 포럼
building_identity_complex,Identity Complex,인격 개발 단지
building_identity_repository,Identity Repository,인격 보관소
building_illicit_research_labs,Illicit Research Labs,불법 연구소
building_imperial_capital,Imperial Palace,제국 황궁
building_imperial_capital_wilderness,Imperial Complex,제국 복합체
building_imperial_concession_port,Imperial Concession Port,제국 양허 항구
building_imperial_machine_capital,Imperial Center,제국 중심 구역
building_industrial_subsidiary,Industrial Subsidiary,산업 자회사
building_institute,Research Institute,연구 기관
building_junkheap,Junk Heap,쓰레기 더미
building_knightly_theme_park,Knightly Fair Grounds,기사 축제 마당
building_lathe_capital,Processing Unit,처리 장치
building_lathe_cogitator,Synaptic Cogitator,시냅스 숙고기
building_lathe_life_support,Synaptic Sustainer,시냅스 유지기
building_lathe_major_capital,Processing Unit: Parallelized,처리 장치: 병렬화
building_lathe_overclocker,Synaptic Overclocker,시냅스 오버클러커
building_lathe_preserver,Synaptic Preserver,시냅스 보존기
building_lathe_reactor,Expanded Reactor,확장 반응로
building_lathe_resonator,Synaptic Resonator,시냅스 공명기
building_lathe_stabilisator,Neural Stabilizer,신경 안정기
building_lathe_super_capital,Processing Unit: Vectorial,처리 장치: 벡터
building_lathe_validator,Synaptic Validator,시냅스 검증기
building_lifecrypt_1,Leeching Tower,에너지 흡수탑
building_lifecrypt_2,Soul Siphon,소울 사이펀
building_lifecrypt_3,Essence Conduit,에너지 정수 도관
building_lifecrypt_corporate_1,Synergy Headquarters,시너지 센터
building_lifecrypt_corporate_2,Synergy Administration,시너지 행정부
building_lifecrypt_corporate_3,Synergy Nexus,시너지 연결체
building_lifecrypt_machine_1,Siphon Battery,사이펀 배터리
building_lifecrypt_machine_2,Battery Complex,배터리 복합체
building_lifecrypt_machine_3,Battery Nexus,배터리 연결체
building_livestock_processing_center,Processing Center,가공 센터
building_low_tech_admin_hub,Administrative Hub,행정 허브
building_low_tech_capital,Command Center,지휘소
building_low_tech_farm,Makeshift Farms,간이 농장
building_low_tech_power_plant,Power Plant,발전소
building_low_tech_scrap_refinery,Scrap Refinery,고철 정제소
building_luxury_residence,Luxury Residences,호화 주거
building_machine_assembly_complex,Machine Assembly Complex,기계 조립 단지
building_machine_assembly_plant,Machine Assembly Plants,기계 조립 공장
building_machine_capital,Administrative Array,행정 배열망
building_machine_major_capital,Planetary Processor,행성 연산기
building_machine_primitive_node,Simple Uplink Node,단순 업링크 노드
building_machine_system_capital,Primary Nexus,주 연결체
building_maintenance_depot,Logistics Hub,물류 허브
building_major_capital,Planetary Capital,행성 수도
building_major_capital_wilderness,Planetary Root Complex,행성 뿌리 복합체
building_massive_growth_1,Nutritious Dell,영양 협곡
building_massive_growth_2,Nutritious Undergrowth,영양 관목
building_massive_growth_3,Contour Megaplantation,등고선 재배 거대 농장
building_massive_growth_4,Sylviculture Plantation,식목 농장
building_master_archive,Master Archive,중앙 기록 보관소
building_materiality_engine,Materiality Engine,물질화 엔진
building_materiality_engine_plural,Materiality Engines,물질화 엔진
building_medical_1,Medical Center,의료 센터
building_medical_2,Gene Clinics,유전자 진료소
building_medical_3,Cyto-Revitalization Centers,세포 재생소
building_micro_forge,Hyper-Forge,하이퍼 단조장
building_military_academy,Military Academy,사관 학교
building_military_contractors,Mercenary Liaison Office,용병 알선 사무소
building_mine_generic,Surface Quarry Depot,지표 채굴 저장소
building_mineral_purification_hub,Mineral Purification Hubs,광물 정제 허브
building_mineral_purification_plant,Mineral Purification Plants,광물 정제 공장
building_mineral_silo_1,Mineral Silo I,광물 저장고 I
building_mineral_silo_2,Mineral Silo II,광물 저장고 II
building_mineral_silo_3,Mineral Silo III,광물 저장고 III
building_mining_districts_1,Industrial Mining Site,산업 채굴장
building_mining_districts_2,Core Drilling Array,심부 시추 배열체
building_mining_districts_3,Seismic Tunneling Yard,지진 터널 굴착장
building_mining_network_1,Mining Network I,채굴망 I
building_mining_network_2,Mining Network II,채굴망 II
building_mining_network_3,Mining Network III,채굴망 III
building_mining_network_4,Mining Network IV,채굴망 IV
building_mining_network_5,Mining Network V,채굴망 V
building_ministry_production,Ministry of Production,생산부
building_monument,Monument,기념물
building_monument_purity,Monument to Purity,순수 기념물
building_mote_aggravator,Chemical Digester,화학 소화 기관
building_mote_harvesters,Mote Harvesting Traps,분말 포집기
building_mutant_landfill,Mutant Landfill,돌연변이 매립지
building_nanite_transmuter,Nanite Transmuter,나노봇 변환 시설
building_nano_forge,Auto-Forge,자동 단조장
building_nanolab_1,Nanite Research Facility,나노봇 연구 시설
building_nanolab_2,Nanite Research Complex,나노봇 연구 단지
building_nanotech_cauldron,Nanotech Cauldron,나노테크 도가니
building_natural_furnace_0,Smelting Pool,제련 웅덩이
building_natural_furnace_1,Smelting Kiln,제련 가마
building_natural_furnace_2,Solid-Light Smelter,고체 광선 용광로
building_natural_furnace_3,Nano-Smelter,나노 용광로
building_necrophage_elevation_chamber,Chamber of Elevation,승급의 방
building_necrophage_house_of_apotheosis,House of Apotheosis,이상화의 집
building_network_junction,Network Junction,망 교차소
building_neuro_electric_amplifier,Neuro-Electric Amplifier,신경 전기 증폭기
building_noble_estates,Noble Estates,귀족 영지
building_nourishment_center,Nourishment Center,영양 센터
building_nourishment_complex,Nourishment Complex,영양 단지
building_nutrient_paste_facility,Nutrient Paste Facility,영양 반죽 공장
building_nuumismatic_shrine,Numistic Shrine,누마 사원
building_odd_factory,Odd Factory,기묘한 공장
building_offspring_nest,Offspring Nest,자손의 둥지
building_offworld_expedition_hub,Offworld Expedition Hub,외계 탐사 허브
building_order_castle,Order's Castle,기사단의 성
building_order_keep,Order's Keep,기사단의 성채
building_organic_paradise,Organic Paradise,유기체 낙원
building_organic_sanctuary,Organic Sanctuary,유기체 보호처
building_orillium_factory,Orillium Explosives Factory,오릴륨 폭발물 공장
building_overseer_homes,Overseer Residences,감독관 주택
building_ozone_thickener,Planetary Shield Canopy,임관층 행성 보호막
building_paradise_dome,Paradise Dome,낙원 돔
building_paragon_memory_vaults,Vaults of Knowledge,지식의 보고
building_paragon_origin_academy,Grand Academy,대학술원
building_particle_accelerator,Particle Accelerator,입자 가속기
building_physics_lab_1,Field Dynamics Center,역장 역학 센터
building_physics_lab_2,Quantum Relations Annex,양자 관계 연구소 별관
building_physics_lab_3,Fundamental Research Nexus,기초 연구 연결체
building_physics_lab_4,Physics Lab IV,물리학 연구소 IV
building_physics_lab_5,Physics Lab V,물리학 연구소 V
building_pinniped_sanctuary,Pinniped Sanctuary,기각류 보호처
building_pirate_haven,Pirate Free Haven,해적 안식처
building_pitharan_plant,Pitharan Fertilizer Plant,피타란 비료 공장
building_plague_memorial,Plague Memorial,전염병 추모관
building_planetary_carapace,Bone Garrison,골격 주둔지
building_planetary_carapace_2,Bone Fortress,골격 요새
building_planetary_shield_generator,Planetary Shield Generator,행성 보호막 생성기
building_posthumous_employment_center,Posthumous Employment Center,사후 고용 센터
building_power_plant_1,Power Plant I,발전소 I
building_power_plant_2,Power Plant II,발전소 II
building_power_plant_3,Power Plant III,발전소 III
building_power_plant_4,Power Plant IV,발전소 IV
building_power_plant_5,Power Plant V,발전소 V
building_pre_ftl_radio_telescope,Radio Telescope Array,전파 망원경 배열체
building_precinct_house,Precinct Houses,경찰서
building_primitive_capital,Regional Capitals,지역 수도
building_primitive_dwellings,Primitive Dwellings,원시 거주소
building_primitive_factory,Basic Factories,기본 공장
building_primitive_farm,Primitive Farms,원시 농장
building_primitive_mine,Primitive Mine,원시 광산
building_primitive_offices,Basic Offices,기본 사무실
building_primitive_power_plant,Primitive Power Plant,원시 발전소
building_primitive_research,Basic Research Labs,기본 연구소
building_private_mining_consortium,Private Mining Consortium,민간 채굴 컨소시엄
building_private_research_initiative,Private Research Enterprises,민간 연구 기업
building_private_security,Private Security Company,민간 경비 회사
building_private_shipyards,Private Military Industries,민간 군수 산업체
building_probability_engine,Probability Engine,확률 엔진
building_production_center,Resource Processing Center,자원 처리소
building_psi_corps,Psi Corps,사이오닉단
building_psionic_offices,Psionic Offices,사이오닉 청사
building_psionic_suppressor,Psionic Suppressor,사이오닉 억제기
building_public_relations_office,Public Relations Firm,홍보 대행사
building_quarantine,Plague Research Station,전염병 연구 기지
building_ranger_lodge,Ranger Lodge,자연 감시인 오두막
building_refinery,Exotic Gas Refineries,외계 가스 정제소
building_research_efficiency_1,Data-Driven Theorem Facility,데이터 기반 법칙 연구 시설
building_research_lab_1,Research Labs,연구소
